timestamp,event_type,command_id,commanded_mode,commanded_tx_state,reported_mode,reported_tx_state,health,alarm,rssi_dbm,snr_db,latency_sec,match,raw_packet
2026-05-08 10:14:13,STATUS_RECEIVED,0,,,MTI,Disabled,OK,0,-47.00,12.50,,NO,"T=STAT,CID=0,MODE=MTI,TX=DIS,H=OK,A=0,RSSI=-47.00,SNR=12.50"
2026-05-08 10:14:32,COMMAND_SENT,1,MTI,Enabled,,,,,,,,,"T=CMD,CID=1,TS=1778260472.2435312,MODE=MTI,TX=EN"
2026-05-08 10:14:32,STATUS_RECEIVED,1,MTI,Enabled,MTI,Enabled,OK,0,-49.00,12.75,0.4,YES,"T=STAT,CID=1,MODE=MTI,TX=EN,H=OK,A=0,RSSI=-49.00,SNR=12.75"
2026-05-08 10:14:47,COMMAND_SENT,2,SARVideo,Enabled,,,,,,,,,"T=CMD,CID=2,TS=1778260487.4412174,MODE=SARV,TX=EN"
2026-05-08 10:14:47,STATUS_RECEIVED,2,SARVideo,Enabled,SARVideo,Enabled,OK,0,-51.00,12.00,0.3,YES,"T=STAT,CID=2,MODE=SARV,TX=EN,H=OK,A=0,RSSI=-51.00,SNR=12.00"
2026-05-08 10:14:50,COMMAND_SENT,3,Maritime Large,Enabled,,,,,,,,,"T=CMD,CID=3,TS=1778260490.651964,MODE=MLV,TX=EN"
2026-05-08 10:14:51,STATUS_RECEIVED,3,Maritime Large,Enabled,Maritime Large,Enabled,OK,0,-51.00,12.75,0.41,YES,"T=STAT,CID=3,MODE=MLV,TX=EN,H=OK,A=0,RSSI=-51.00,SNR=12.75"
2026-05-08 10:15:10,COMMAND_SENT,4,Maritime Large,Disabled,,,,,,,,,"T=CMD,CID=4,TS=1778260510.99738,MODE=MLV,TX=DIS"
2026-05-08 10:15:11,STATUS_RECEIVED,4,Maritime Large,Disabled,Maritime Large,Disabled,OK,0,-49.00,12.75,0.34,YES,"T=STAT,CID=4,MODE=MLV,TX=DIS,H=OK,A=0,RSSI=-49.00,SNR=12.75"
2026-05-08 10:15:12,COMMAND_SENT,5,Maritime Large,Disabled,,,,,,,,,"T=CMD,CID=5,TS=1778260512.177625,MODE=MLV,TX=DIS"
2026-05-08 10:15:12,STATUS_RECEIVED,5,Maritime Large,Disabled,Maritime Large,Disabled,OK,0,-49.00,12.25,0.33,YES,"T=STAT,CID=5,MODE=MLV,TX=DIS,H=OK,A=0,RSSI=-49.00,SNR=12.25"
