timestamp,event_type,command_id,commanded_mode,commanded_tx_state,reported_mode,reported_tx_state,health,alarm,rssi_dbm,snr_db,latency_sec,match,raw_packet
2026-05-27 19:40:33,STATUS_RECEIVED,0,,,SARVideo,Disabled,OK,0,-44.00,12.25,,NO,"T=STAT,CID=0,MODE=SARV,TX=DIS,H=OK,A=0,RSSI=-44.00,SNR=12.25"
2026-05-27 19:43:12,COMMAND_SENT,1,MTI,Enabled,,,,,,,,,"T=CMD,CID=1,TS=1779936192.9941301,MODE=MTI,TX=EN"
2026-05-27 19:43:13,STATUS_RECEIVED,1,MTI,Enabled,MTI,Enabled,OK,0,-76.00,11.50,0.34,YES,"T=STAT,CID=1,MODE=MTI,TX=EN,H=OK,A=0,RSSI=-76.00,SNR=11.50"
2026-05-27 19:43:45,COMMAND_SENT,2,SARVideo,Enabled,,,,,,,,,"T=CMD,CID=2,TS=1779936225.1814864,MODE=SARV,TX=EN"
2026-05-27 19:43:45,STATUS_RECEIVED,2,SARVideo,Enabled,SARVideo,Enabled,OK,0,-90.00,3.50,0.35,YES,"T=STAT,CID=2,MODE=SARV,TX=EN,H=OK,A=0,RSSI=-90.00,SNR=3.50"
2026-05-27 19:44:19,COMMAND_SENT,3,Maritime Large,Enabled,,,,,,,,,"T=CMD,CID=3,TS=1779936259.847983,MODE=MLV,TX=EN"
2026-05-27 19:44:45,COMMAND_SENT,4,Maritime Large,Enabled,,,,,,,,,"T=CMD,CID=4,TS=1779936285.595796,MODE=MLV,TX=EN"
2026-05-27 19:45:02,COMMAND_SENT,5,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=5,TS=1779936302.2727973,MODE=MSV,TX=EN"
2026-05-27 19:45:19,COMMAND_SENT,6,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=6,TS=1779936319.0102692,MODE=MSV,TX=EN"
2026-05-27 19:45:30,COMMAND_SENT,7,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=7,TS=1779936330.5130568,MODE=MSV,TX=EN"
2026-05-27 19:45:51,COMMAND_SENT,8,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=8,TS=1779936351.9552739,MODE=MSV,TX=DIS"
2026-05-27 19:45:52,STATUS_RECEIVED,8,Maritime Small,Disabled,Maritime Small,Disabled,OK,0,-104.00,-9.50,0.32,YES,"T=STAT,CID=8,MODE=MSV,TX=DIS,H=OK,A=0,RSSI=-104.00,SNR=-9.50"
2026-05-27 19:45:59,COMMAND_SENT,9,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=9,TS=1779936359.5969222,MODE=MSV,TX=DIS"
2026-05-27 19:45:59,STATUS_RECEIVED,9,Maritime Small,Disabled,Maritime Small,Disabled,OK,0,-96.00,-1.25,0.34,YES,"T=STAT,CID=9,MODE=MSV,TX=DIS,H=OK,A=0,RSSI=-96.00,SNR=-1.25"
2026-05-27 19:46:35,COMMAND_SENT,10,MTI,Disabled,,,,,,,,,"T=CMD,CID=10,TS=1779936395.2667265,MODE=MTI,TX=DIS"
2026-05-27 19:46:45,COMMAND_SENT,11,MTI,Disabled,,,,,,,,,"T=CMD,CID=11,TS=1779936405.6378007,MODE=MTI,TX=DIS"
2026-05-27 19:47:09,COMMAND_SENT,12,SARVideo,Disabled,,,,,,,,,"T=CMD,CID=12,TS=1779936429.096898,MODE=SARV,TX=DIS"
2026-05-27 19:47:52,COMMAND_SENT,13,Maritime Large,Disabled,,,,,,,,,"T=CMD,CID=13,TS=1779936472.168128,MODE=MLV,TX=DIS"
2026-05-27 19:48:34,COMMAND_SENT,14,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=14,TS=1779936514.6128268,MODE=MSV,TX=DIS"
2026-05-27 19:48:59,COMMAND_SENT,15,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=15,TS=1779936539.7480972,MODE=MSV,TX=EN"
2026-05-27 19:49:11,COMMAND_SENT,16,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=16,TS=1779936551.9652708,MODE=MSV,TX=DIS"
2026-05-27 19:49:38,COMMAND_SENT,17,MTI,Disabled,,,,,,,,,"T=CMD,CID=17,TS=1779936578.6293256,MODE=MTI,TX=DIS"
2026-05-27 19:49:59,COMMAND_SENT,18,SARVideo,Disabled,,,,,,,,,"T=CMD,CID=18,TS=1779936599.269596,MODE=SARV,TX=DIS"
2026-05-27 19:50:13,COMMAND_SENT,19,SARVideo,Disabled,,,,,,,,,"T=CMD,CID=19,TS=1779936613.2268298,MODE=SARV,TX=DIS"
2026-05-27 19:50:39,COMMAND_SENT,20,Maritime Large,Disabled,,,,,,,,,"T=CMD,CID=20,TS=1779936639.1009426,MODE=MLV,TX=DIS"
2026-05-27 19:50:39,STATUS_RECEIVED,20,Maritime Large,Disabled,Maritime Large,Disabled,OK,0,-95.00,-1.25,0.38,YES,"T=STAT,CID=20,MODE=MLV,TX=DIS,H=OK,A=0,RSSI=-95.00,SNR=-1.25"
2026-05-27 19:51:06,COMMAND_SENT,21,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=21,TS=1779936666.8058257,MODE=MSV,TX=DIS"
2026-05-27 19:51:11,COMMAND_SENT,22,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=22,TS=1779936671.426773,MODE=MSV,TX=EN"
2026-05-27 19:51:15,COMMAND_SENT,23,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=23,TS=1779936675.455533,MODE=MSV,TX=DIS"
2026-05-27 19:51:15,STATUS_RECEIVED,23,Maritime Small,Disabled,Maritime Small,Disabled,OK,0,-88.00,6.25,0.29,YES,"T=STAT,CID=23,MODE=MSV,TX=DIS,H=OK,A=0,RSSI=-88.00,SNR=6.25"
2026-05-27 19:51:19,COMMAND_SENT,24,MTI,Disabled,,,,,,,,,"T=CMD,CID=24,TS=1779936679.2696846,MODE=MTI,TX=DIS"
2026-05-27 19:51:19,STATUS_RECEIVED,24,MTI,Disabled,MTI,Disabled,OK,0,-102.00,-6.75,0.33,YES,"T=STAT,CID=24,MODE=MTI,TX=DIS,H=OK,A=0,RSSI=-102.00,SNR=-6.75"
2026-05-27 19:51:22,COMMAND_SENT,25,SARVideo,Disabled,,,,,,,,,"T=CMD,CID=25,TS=1779936682.8768349,MODE=SARV,TX=DIS"
2026-05-27 19:51:26,COMMAND_SENT,26,Maritime Large,Disabled,,,,,,,,,"T=CMD,CID=26,TS=1779936686.314042,MODE=MLV,TX=DIS"
2026-05-27 19:51:29,COMMAND_SENT,27,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=27,TS=1779936689.4809165,MODE=MSV,TX=DIS"
2026-05-27 19:51:32,COMMAND_SENT,28,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=28,TS=1779936692.5828998,MODE=MSV,TX=EN"
2026-05-27 19:51:42,COMMAND_SENT,29,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=29,TS=1779936702.987419,MODE=MSV,TX=DIS"
2026-05-27 19:52:22,COMMAND_SENT,30,MTI,Disabled,,,,,,,,,"T=CMD,CID=30,TS=1779936742.7069676,MODE=MTI,TX=DIS"
2026-05-27 19:52:34,COMMAND_SENT,31,SARVideo,Disabled,,,,,,,,,"T=CMD,CID=31,TS=1779936754.025919,MODE=SARV,TX=DIS"
2026-05-27 19:52:52,COMMAND_SENT,32,SARVideo,Disabled,,,,,,,,,"T=CMD,CID=32,TS=1779936772.7124634,MODE=SARV,TX=DIS"
2026-05-27 19:52:58,COMMAND_SENT,33,SARVideo,Disabled,,,,,,,,,"T=CMD,CID=33,TS=1779936778.250869,MODE=SARV,TX=DIS"
2026-05-27 19:53:02,COMMAND_SENT,34,Maritime Large,Disabled,,,,,,,,,"T=CMD,CID=34,TS=1779936782.7242246,MODE=MLV,TX=DIS"
2026-05-27 19:53:05,COMMAND_SENT,35,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=35,TS=1779936785.6705234,MODE=MSV,TX=DIS"
2026-05-27 19:53:11,COMMAND_SENT,36,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=36,TS=1779936791.1083593,MODE=MSV,TX=DIS"
2026-05-27 19:53:13,COMMAND_SENT,37,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=37,TS=1779936793.6377187,MODE=MSV,TX=EN"
2026-05-27 19:53:18,COMMAND_SENT,38,MTI,Enabled,,,,,,,,,"T=CMD,CID=38,TS=1779936798.0764275,MODE=MTI,TX=EN"
2026-05-27 19:53:21,COMMAND_SENT,39,SARVideo,Enabled,,,,,,,,,"T=CMD,CID=39,TS=1779936801.880366,MODE=SARV,TX=EN"
2026-05-27 19:53:26,COMMAND_SENT,40,Maritime Large,Enabled,,,,,,,,,"T=CMD,CID=40,TS=1779936806.1055598,MODE=MLV,TX=EN"
