timestamp,event_type,command_id,mode,tx_state,health,alarm,rssi_dbm,snr_db,raw_packet
2026-05-08 10:14:14,STATUS_SENT,0,MTI,Disabled,OK,0,,,"T=STAT,CID=0,MODE=MTI,TX=DIS,H=OK,A=0"
2026-05-08 10:14:34,COMMAND_RECEIVED,1,MTI,Enabled,OK,0,-49.00,12.75,"T=CMD,CID=1,TS=1778260472.2435312,MODE=MTI,TX=EN,RSSI=-49.00,SNR=12.75"
2026-05-08 10:14:34,STATUS_SENT,1,MTI,Enabled,OK,0,,,"T=STAT,CID=1,MODE=MTI,TX=EN,H=OK,A=0"
2026-05-08 10:14:49,COMMAND_RECEIVED,2,SARVideo,Enabled,OK,0,-51.00,12.75,"T=CMD,CID=2,TS=1778260487.4412174,MODE=SARV,TX=EN,RSSI=-51.00,SNR=12.75"
2026-05-08 10:14:49,STATUS_SENT,2,SARVideo,Enabled,OK,0,,,"T=STAT,CID=2,MODE=SARV,TX=EN,H=OK,A=0"
2026-05-08 10:14:52,COMMAND_RECEIVED,3,Maritime Large,Enabled,OK,0,-51.00,12.25,"T=CMD,CID=3,TS=1778260490.651964,MODE=MLV,TX=EN,RSSI=-51.00,SNR=12.25"
2026-05-08 10:14:52,STATUS_SENT,3,Maritime Large,Enabled,OK,0,,,"T=STAT,CID=3,MODE=MLV,TX=EN,H=OK,A=0"
2026-05-08 10:15:12,COMMAND_RECEIVED,4,Maritime Large,Disabled,OK,0,-49.00,12.75,"T=CMD,CID=4,TS=1778260510.99738,MODE=MLV,TX=DIS,RSSI=-49.00,SNR=12.75"
2026-05-08 10:15:12,STATUS_SENT,4,Maritime Large,Disabled,OK,0,,,"T=STAT,CID=4,MODE=MLV,TX=DIS,H=OK,A=0"
2026-05-08 10:15:13,COMMAND_RECEIVED,5,Maritime Large,Disabled,OK,0,-49.00,12.25,"T=CMD,CID=5,TS=1778260512.177625,MODE=MLV,TX=DIS,RSSI=-49.00,SNR=12.25"
2026-05-08 10:15:13,STATUS_SENT,5,Maritime Large,Disabled,OK,0,,,"T=STAT,CID=5,MODE=MLV,TX=DIS,H=OK,A=0"
